aggregate_category,attribute_category,expression,english_translation,notes
Compensation Scheme,Incentive Pay Scheme,salgsprovisjon,sales commission,
Compensation Scheme,Incentive Pay Scheme,salsprovisjon,sales bonus,
Compensation Scheme,Incentive Pay Scheme,provisjonsordningar,commission arrangements,
Compensation Scheme,Incentive Pay Scheme,bonusordning,bonus scheme,
Compensation Scheme,Incentive Pay Scheme,provisjonsløsninger,commission solutions,
Compensation Scheme,Incentive Pay Scheme,prestasjonsbasert,performance-based,
Compensation Scheme,Incentive Pay Scheme,bonussystem,bonus system,
Compensation Scheme,Incentive Pay Scheme,overskuddsdeling,profit sharing,
Compensation Scheme,Incentive Pay Scheme,bonusordinger,bonus orders,
Compensation Scheme,Incentive Pay Scheme,bonusmodell,bonus model,
Compensation Scheme,Incentive Pay Scheme,provisjon,commission pay,
Compensation Scheme,Incentive Pay Scheme,prestasjonslønn,performance pay,
Compensation Scheme,Incentive Pay Scheme,provisjonsløysingar,commission solutions,
Compensation Scheme,Incentive Pay Scheme,provisjonsløysing,commission settlement,
Compensation Scheme,Hiring Bonus,flyttekostnad,moving grant,
Compensation Scheme,Hiring Bonus,etableringstilskot,establishment allowance,
Compensation Scheme,Hiring Bonus,etableringstilskudd,establishment grant,
Compensation Scheme,Hiring Bonus,etableringsstipend,establishment grant,
Compensation Scheme,Hiring Bonus,rekrutteringstilskudd,recruitment grant,
Compensation Scheme,Hiring Bonus,engangsbeløp,lump sum,
Compensation Scheme,Hiring Bonus,rekrutteringstillegg,recruitment supplement,
Compensation Scheme,Hiring Bonus,flyttekostnader,moving grants,
Compensation Scheme,Hiring Bonus,eingongsbeløp,lump sum,
Compensation Scheme,Hiring Bonus,rekrutteringstilskot,recruitment allowance,
Compensation Scheme,Hiring Bonus,rekrutteringsstipend,recruitment grant,
Compensation Scheme,Good Overtime Pay,overtidsgodtgjørelse,overtime pay,
Compensation Scheme,Good Overtime Pay,overtidsbetaling,overtime pay,
Compensation Scheme,Good Overtime Pay,betalt overtid,paid overtime,
Compensation Scheme,Good Overtime Pay,overtidsbetalt,overtime paid,
Compensation Scheme,Good Overtime Pay,overtidstillegg,overtime pay,
Compensation Scheme,Good Overtime Pay,overtidsgodtgjersle,overtime pay,
Compensation Scheme,Good Overtime Pay,overtid betalt,overtime paid,
Compensation Scheme,Any Other Mention of Pay,lønna,the pay,
Compensation Scheme,Any Other Mention of Pay,fastlønnsordning,fixed salary scheme,
Compensation Scheme,Any Other Mention of Pay,blir lønt,will be paid,
Compensation Scheme,Any Other Mention of Pay,timebasert lønn,hourly wage,
Compensation Scheme,Any Other Mention of Pay,godtgjersler,allowances,
Compensation Scheme,Any Other Mention of Pay,lön,pay,
Compensation Scheme,Any Other Mention of Pay,lønnsbetingelser,pay conditions,
Compensation Scheme,Any Other Mention of Pay,lønnsmodell,pay model,
Compensation Scheme,Any Other Mention of Pay,lønns,pay,
Compensation Scheme,Any Other Mention of Pay,avlønnes,are remunerated,
Compensation Scheme,Any Other Mention of Pay,løns,pay,
Compensation Scheme,Any Other Mention of Pay,godtgjørelser,allowances,
Compensation Scheme,Any Other Mention of Pay,lønn,pay,
Compensation Scheme,Any Other Mention of Pay,turnustillegg,shift work salary supplement,
Compensation Scheme,Any Other Mention of Pay,kompensasjonspakke,compensation package,
Compensation Scheme,Any Other Mention of Pay,lønte,salary,
Compensation Scheme,Any Other Mention of Pay,lønsvilkår,pay conditions,
Compensation Scheme,Any Other Mention of Pay,lønnet,paid,
Compensation Scheme,Any Other Mention of Pay,fastløn,fixed salary,
Compensation Scheme,Any Other Mention of Pay,timeinnsats,hourly effort,
Compensation Scheme,Any Other Mention of Pay,lønnsvilkår,pay conditions,
Compensation Scheme,Any Other Mention of Pay,fastlønn,fixed salary,
Compensation Scheme,Any Other Mention of Pay,lønnsavtalar,salary agreements,
Compensation Scheme,Any Other Mention of Pay,lønnsfastsettelse,pay determination,
Compensation Scheme,Any Other Mention of Pay,lønnen,the pay,
Compensation Scheme,Any Other Mention of Pay,lønnsforhold,pay conditions,
Compensation Scheme,Any Other Mention of Pay,lønnsauke,pay increase,
Compensation Scheme,Any Other Mention of Pay,lønnsfastsetjing,pay determination,
Compensation Scheme,Any Other Mention of Pay,lönn,pay,Swedish
Compensation Scheme,Any Other Mention of Pay,lønnsøkning,pay raise,
Compensation Scheme,Any Other Mention of Pay,timebetaling,hourly pay,
Compensation Scheme,Any Other Mention of Pay,fastlønnordning,fixed salary scheme,
Compensation Scheme,Any Other Mention of Pay,grunnlønn,basic salary,
Compensation Scheme,Any Other Mention of Pay,helgetillegg,weekend salary supplement,
Compensation Scheme,Any Other Mention of Pay,løn,pay,
Compensation Scheme,Any Other Mention of Pay,avlønning,remuneration,
Compensation Scheme,Any Other Mention of Pay,lønnsutbetaling,salary payment,
Compensation Scheme,Any Other Mention of Pay,inntekt,income,
Financial Attributes,Pension Scheme,tenestepensjons,occupational pension,
Financial Attributes,Pension Scheme,pensjonskassa,pension fund,
Financial Attributes,Pension Scheme,innskotspensjonsordning,defined contribution pension scheme,
Financial Attributes,Pension Scheme,klp,klp,KLP is a pension company that manages the pension of municipal employees.
Financial Attributes,Pension Scheme,pensjonskassen,the pension fund,
Financial Attributes,Pension Scheme,pensjonsordninger,pension schemes,
Financial Attributes,Pension Scheme,pensjonsordinger,pension orders,
Financial Attributes,Pension Scheme,pensjonsavtalar,pension agreements,
Financial Attributes,Pension Scheme,pensjonsopptening,pension increase,
Financial Attributes,Pension Scheme,avtalefesta pensjon,contractual pension,
Financial Attributes,Pension Scheme,pensjonsforsikringer,pension insurances,
Financial Attributes,Pension Scheme,tenestepensjon,occupational pension,
Financial Attributes,Pension Scheme,tenestepensjonsordningar,occupational pension schemes,
Financial Attributes,Pension Scheme,tjenestepensjons,occupational pension,
Financial Attributes,Pension Scheme,tjenestepensjon,occupational pension,
Financial Attributes,Pension Scheme,pensjonsrettigheter,pension rights,
Financial Attributes,Pension Scheme,tenestepensjonsordning,occupational pension scheme,
Financial Attributes,Pension Scheme,pensjonsopptjening,pension accrual,
Financial Attributes,Pension Scheme,tjenestepensjonsordninger,occupational pension schemes,
Financial Attributes,Pension Scheme,spk,Norwegian Public Service Pension Fund,
Financial Attributes,Pension Scheme,pensjons,pension,
Financial Attributes,Pension Scheme,innskotspensjon,contribution pension,
Financial Attributes,Pension Scheme,pensjonsog,pension and,
Financial Attributes,Pension Scheme,pensjonsinnskot,pension contribution,
Financial Attributes,Pension Scheme,pensjonsforsikringar,pension insurances,
Financial Attributes,Pension Scheme,pensjonstilskudd,pension supplement,
Financial Attributes,Pension Scheme,tjenestepensjonsordning,occupational pension scheme,
Financial Attributes,Pension Scheme,pensjonsmedlemsskap,pension membership,
Financial Attributes,Pension Scheme,pensjonsavtale,pension agreement,
Financial Attributes,Pension Scheme,avtalefestet pensjon,contractual pension,
Financial Attributes,Pension Scheme,innskuddspensjonsordning,defined contribution pension scheme,
Financial Attributes,Pension Scheme,pensjonsordning,pension scheme,
Financial Attributes,Pension Scheme,pensjonsforsikring,pension insurance,
Financial Attributes,Pension Scheme,innskuddspensjon,contribution pension,
Financial Attributes,Pension Scheme,pensjonsforhold,pension conditions,
Financial Attributes,Pension Scheme,pensjonsmedlemskap,pension membership,
Financial Attributes,Pension Scheme,pensjonstilskot,pension supplement,
Financial Attributes,Pension Scheme,pensjonsrettar,pension rights,
Financial Attributes,Pension Scheme,pensjonsvilkår,pension conditions,
Financial Attributes,Pension Scheme,pensjonsordningar,pension schemes,
Financial Attributes,Pension Scheme,pensjonsparing,pension savings,
Financial Attributes,Pension Scheme,pensjonordning,pension scheme,
Financial Attributes,Pension Scheme,pensjonsordninga,the pension scheme,
Financial Attributes,Pension Scheme,pensjonskasse,pension fund,
Financial Attributes,Pension Scheme,pensjonsbetingelser,pension conditions,
Financial Attributes,Pension Scheme,pensjonsavtaler,pension agreements,
Financial Attributes,Pension Scheme,landspensjonskasse,national pension fund,
Financial Attributes,Pension Scheme,pensjonsording,pension scheme,
Financial Attributes,Pension Scheme,pensjon,pension,
Financial Attributes,Pension Scheme,pensjonsinnskudd,pension contributions,
Financial Attributes,Pension Scheme,pensjonssparing,pension savings,
Financial Attributes,Pension Scheme,afp,contractual pension,
Financial Attributes,Pension Scheme,otp,otp,Mandatory occupational pension scheme
Financial Attributes,Pension Scheme,pensjonsordningen,the pension scheme,
Financial Attributes,Insurance Scheme,forsikringsordningene,the insurance schemes,
Financial Attributes,Insurance Scheme,forsikringsordning,insurance scheme,
Financial Attributes,Insurance Scheme,forsikringsvilkår,insurance conditions,
Financial Attributes,Insurance Scheme,forsikringsordningane,the insurance arrangements,
Financial Attributes,Insurance Scheme,ulykkesforsikringer,accident insurances,
Financial Attributes,Insurance Scheme,sjukeforsikring,health insurance,
Financial Attributes,Insurance Scheme,forsikringsordnigner,insurance schemes,
Financial Attributes,Insurance Scheme,personforsikringar,personal insurances,
Financial Attributes,Insurance Scheme,forsikringsmoglegheiter,insurance options,
Financial Attributes,Insurance Scheme,sykelønnsordning,sick pay scheme,
Financial Attributes,Insurance Scheme,gruppelivs,group life,
Financial Attributes,Insurance Scheme,gruppelivsordningar,group living arrangements,
Financial Attributes,Insurance Scheme,personforsikringer,personal insurances,
Financial Attributes,Insurance Scheme,helseforsikring,health insurance,
Financial Attributes,Insurance Scheme,forsikringer,insurances,
Financial Attributes,Insurance Scheme,ulykkesforsikringar,accident insurances,
Financial Attributes,Insurance Scheme,helseforsikringer,health insurances,
Financial Attributes,Insurance Scheme,gruppelivsforsikring,group life insurance,
Financial Attributes,Insurance Scheme,forsikringsmuligheter,insurance options,
Financial Attributes,Insurance Scheme,forsikringsavtaler,insurance contracts,
Financial Attributes,Insurance Scheme,sykeforsikring,health insurance,
Financial Attributes,Insurance Scheme,personalforsikringer,personnel insurances,
Financial Attributes,Insurance Scheme,personalforsikringsordninger,personnel insurance schemes,
Financial Attributes,Insurance Scheme,forsikrings,insurance,
Financial Attributes,Insurance Scheme,forsikring,insurance,
Financial Attributes,Insurance Scheme,forsikringsbetingelser,insurance conditions,
Financial Attributes,Insurance Scheme,forsikringsavtale,insurance agreement,
Financial Attributes,Insurance Scheme,personalforsikringar,personnel insurances,
Financial Attributes,Insurance Scheme,livsforsikringar,life insurances,
Financial Attributes,Insurance Scheme,gruppelivsforsikringar,group life insurance policies,
Financial Attributes,Insurance Scheme,uføreforsikringer,disability insurances,
Financial Attributes,Insurance Scheme,gruppelivsordning,group living arrangement,
Financial Attributes,Insurance Scheme,forsikringsytingar,insurance benefits,
Financial Attributes,Insurance Scheme,livsforsikringsordning,life insurance scheme,
Financial Attributes,Insurance Scheme,forsikringsordinger,insurance orders,
Financial Attributes,Insurance Scheme,gruppelivsordninger,group living arrangements,
Financial Attributes,Insurance Scheme,forsikringsytelser,insurance benefits,
Financial Attributes,Insurance Scheme,personalforsikring,personnel insurance,
Financial Attributes,Insurance Scheme,forsikringordninger,insurance schemes,
Financial Attributes,Insurance Scheme,forsikringsordningar,insurance arrangements,
Financial Attributes,Insurance Scheme,forsikringsog,insurance and,
Financial Attributes,Insurance Scheme,gruppelivsforsikringer,group life insurance policies,
Financial Attributes,Insurance Scheme,uføreforsikring,disability insurance,
Financial Attributes,Insurance Scheme,forsikringsforhold,insurance conditions,
Financial Attributes,Insurance Scheme,helseforsikringar,health insurances,
Financial Attributes,Insurance Scheme,forsikringar,insurances,
Financial Attributes,Insurance Scheme,ulykkesforsikring,accident insurance,
Financial Attributes,Insurance Scheme,personalforsikringsordningar,personal insurance schemes,
Financial Attributes,Insurance Scheme,sjukelønnsordning,sick pay scheme,
Financial Attributes,Insurance Scheme,gruppeforsikring,group insurance,
Financial Attributes,Insurance Scheme,gruppelivforsikring,group life insurance,
Financial Attributes,Insurance Scheme,forsikringsordringar,insurance orders,
Financial Attributes,Insurance Scheme,forsikringsordringer,insurance arrangements,
Financial Attributes,Insurance Scheme,forsikringsavtalar,insurance contracts,
Financial Attributes,Insurance Scheme,reiseforsikring,travel insurance,
Financial Attributes,Insurance Scheme,personalforsikringsordning,personnel insurance scheme,
Financial Attributes,Insurance Scheme,livsforsikring,life insurance,
Financial Attributes,Insurance Scheme,livsforsikringsordningar,life insurance schemes,
Financial Attributes,Insurance Scheme,uføreforsikringar,disability insurances,
Financial Attributes,Insurance Scheme,forsikringsordninger,insurance schemes,
Financial Attributes,Insurance Scheme,livsforsikringer,life insurance policies,
Financial Attributes,Mortgage Possibility,gunstig lån,favorable loan,
Financial Attributes,Mortgage Possibility,låne forsikrings,loan insurance,
Financial Attributes,Mortgage Possibility,boliglån,mortgage,
Financial Attributes,Mortgage Possibility,gunstig lånetilbod,favorable loan offer,
Financial Attributes,Mortgage Possibility,forsikrings låne,insurance loan,
Financial Attributes,Mortgage Possibility,gunstig lånetilbud,favorable loan offer,
Financial Attributes,Mortgage Possibility,gunstige lånevilkår,favorable loan terms,
Financial Attributes,Mortgage Possibility,låneordning,loan arrangement,
Financial Attributes,Mortgage Possibility,bustadlånsordning,housing loan scheme,
Financial Attributes,Mortgage Possibility,boliglånsordning,mortgage scheme,
Financial Attributes,Mortgage Possibility,gunstige lån,favorable loans,
Financial Attributes,Mortgage Possibility,bustadlån,housing loan,
Financial Attributes,Mortgage Possibility,låne__comma__ forsikrings,loan__comma__ insurance,
Financial Attributes,Mortgage Possibility,gunstige lånebetingelser,favorable loan terms,
Financial Attributes,Mortgage Possibility,forsikrings__comma__ låne,insurance__comma__ loan,
